Option Name	Type	Cooling Efficiency Type	Cooling Efficiency	Cooling Compressor Type	Detailed Performance Data Capacity Type	Detailed Performance Data Cooling Outdoor Temperatures [F]	Detailed Performance Data Cooling Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Min Speed COPs [W/W]	Detailed Performance Data Cooling Nom Speed COPs [W/W]	Detailed Performance Data Cooling Max Speed COPs [W/W]
"Detailed Example: Central AC, SEER2 13.4, Absolute Detailed Performance"	central air conditioner	SEER2	13.4	single stage	Absolute capacities	"95.0, 82.0"		"24000, 26000"			"3.1, 3.8"	
"Detailed Example: Central AC, SEER2 17.1, Absolute Detailed Performance"	central air conditioner	SEER2	17.1	two stage	Absolute capacities	"95.0, 82.0"	"16600, 18600"	"24000, 26000"		"4.1, 5.4"	"3.6, 4.8"	
"Detailed Example: Central AC, SEER 17.5, Absolute Detailed Performance"	central air conditioner	SEER	17.5	variable speed	Absolute capacities	"95.0, 82.0"	"11900, 13400"	36000	"36000, 40500"	"4.47, 6.33"	2.64	"2.64, 3.46"
"Detailed Example: Central AC, SEER 17.5, Normalized Detailed Performance"	central air conditioner	SEER	17.5	variable speed	Normalized capacity fractions	"95.0, 82.0"	"0.33, 0.37"	1	"1.0, 1.13"	"4.47, 6.33"	2.64	"2.64, 3.46"
"Detailed Example: Ductless Mini-Split AC, SEER2 19.0, Absolute Detailed Performance"	mini-split	SEER2	19	variable speed	Absolute capacities	"95.0, 82.0"	"9100, 9900"	36000	"36400, 43300"	"3.76, 4.61"	2.49	"2.45, 3.51"
"Detailed Example: Ductless Mini-Split AC, SEER2 19.0, Normalized Detailed Performance"	mini-split	SEER2	19	variable speed	Normalized capacity fractions	"95.0, 82.0"	"0.25, 0.28"	1	"1.01, 1.20"	"3.76, 4.61"	2.49	"2.45, 3.51"
												
# Type: The type of system.												
# Cooling Efficiency Type: The cooling efficiency type. Central ACs and Mini-Split ACs use SEER2 or EER2; Room ACs and Packaged Terminal ACs use CEER or EER.												
# Cooling Efficiency: The rated cooling efficiency.												
# Cooling Compressor Type: The compressor type of the cooling system. Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Capacity Type: Type of capacity values when providing detailed performance data. Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Outdoor Temperatures: List of outdoor temperatures when providing detailed performance data. Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Min Speed Capacities: Minimum speed capacities when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Nom Speed Capacities: Nominal speed capacities when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Max Speed Capacities: Maximum speed capacities when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Min Speed COPs: Minimum speed COPs when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Nom Speed COPs: Nominal speed COPs when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
# Detailed Performance Data Cooling Max Speed COPs: Maximum speed COPs when providing detailed performance data.  Applies to Central ACs and Mini-Split ACs.												
