Option Name	Type	Nominal Battery Capacity [kWh]	Usable Battery Capacity [kWh]	Fuel Economy Units	Fuel Economy Combined	Miles Driven Per Year [miles/yr]
"SUV, 200 Mile Range, 7000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	7000
"SUV, 200 Mile Range, 9000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	9000
"SUV, 200 Mile Range, 11000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	11000
"SUV, 200 Mile Range, 13000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	13000
"SUV, 200 Mile Range, 15000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	15000
"SUV, 200 Mile Range, 17000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	17000
"SUV, 200 Mile Range, 19000 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	19000
"SUV, 200 Mile Range, 22500 miles/yr"	BatteryElectricVehicle		53.503	kWh/mile	0.267513	22500
"SUV, 300 Mile Range, 1000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	1000
"SUV, 300 Mile Range, 3000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	3000
"SUV, 300 Mile Range, 5000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	5000
"SUV, 300 Mile Range, 7000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	7000
"SUV, 300 Mile Range, 9000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	9000
"SUV, 300 Mile Range, 11000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	11000
"SUV, 300 Mile Range, 13000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	13000
"SUV, 300 Mile Range, 15000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	15000
"SUV, 300 Mile Range, 17000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	17000
"SUV, 300 Mile Range, 19000 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	19000
"SUV, 300 Mile Range, 22500 miles/yr"	BatteryElectricVehicle		83.68	kWh/mile	0.278934	22500
"Detailed Example: 100 kWh battery, 0.25 kWh/mile"	BatteryElectricVehicle	100	80	kWh/mile	0.25	
"Detailed Example: 100 kWh battery, 4.0 miles/kWh"	BatteryElectricVehicle	100	80	mile/kWh	4	
"Detailed Example: 100 kWh battery, 135.0 mpge"	BatteryElectricVehicle	100	80	mpge	135	
						
# Type: The type of vehicle.						
# Nominal Battery Capacity: The nominal capacity of the electric vehicle battery.						
# Usable Battery Capacity: The usable capacity of the electric vehicle battery.						
# Fuel Economy Units: The combined fuel economy units of the vehicle.						
# Fuel Economy Combined: The combined fuel economy of the vehicle.						
# Miles Driven Per Year: Number of miles driven per year with the vehicle.						
