Option Name	Type	Cooling Efficiency Type	Cooling Efficiency	Cooling Compressor Type	Heating Efficiency Type	Heating Efficiency	Detailed Performance Data Capacity Type	Detailed Performance Data Heating Outdoor Temperatures [F]	Detailed Performance Data Heating Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Heating Min Speed COPs [W/W]	Detailed Performance Data Heating Nom Speed COPs [W/W]	Detailed Performance Data Heating Max Speed COPs [W/W]	Detailed Performance Data Cooling Outdoor Temperatures [F]	Detailed Performance Data Cooling Min Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Nom Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Max Speed Capacities [Btu/hr or Frac]	Detailed Performance Data Cooling Min Speed COPs [W/W]	Detailed Performance Data Cooling Nom Speed COPs [W/W]	Detailed Performance Data Cooling Max Speed COPs [W/W]
"Ductless Mini-Split HP, SEER2 18.0, HSPF2 8.8"	mini-split	SEER2	18	variable speed	HSPF2	8.8															
"Ductless Mini-Split HP, SEER2 19.0, HSPF2 9.0"	mini-split	SEER2	19	variable speed	HSPF2	9															
"Ductless Mini-Split HP, SEER2 20.0, HSPF2 9.4"	mini-split	SEER2	20	variable speed	HSPF2	9.4															
"Ductless Mini-Split HP, SEER2 21.0, HSPF2 9.7"	mini-split	SEER2	21	variable speed	HSPF2	9.7															
"Ductless Mini-Split HP, SEER2 22.0, HSPF2 10.1"	mini-split	SEER2	22	variable speed	HSPF2	10.1															
"Ductless Mini-Split HP, SEER2 23.0, HSPF2 10.4"	mini-split	SEER2	23	variable speed	HSPF2	10.4															
"Ductless Mini-Split HP, SEER2 24.0, HSPF2 10.7"	mini-split	SEER2	24	variable speed	HSPF2	10.7															
"Ductless Mini-Split HP, SEER2 25.0, HSPF2 11.0"	mini-split	SEER2	25	variable speed	HSPF2	11															
"Ductless Mini-Split HP, SEER2 26.0, HSPF2 11.4"	mini-split	SEER2	26	variable speed	HSPF2	11.4															
"Ductless Mini-Split HP, SEER2 27.0, HSPF2 11.7"	mini-split	SEER2	27	variable speed	HSPF2	11.7															
"Ductless Mini-Split HP, SEER2 28.0, HSPF2 12.0"	mini-split	SEER2	28	variable speed	HSPF2	12															
"Ductless Mini-Split HP, SEER2 29.0, HSPF2 12.3"	mini-split	SEER2	29	variable speed	HSPF2	12.3															
"Ductless Mini-Split HP, SEER2 30.0, HSPF2 12.7"	mini-split	SEER2	30	variable speed	HSPF2	12.7															
"Ductless Mini-Split HP, SEER2 32.0, HSPF2 13.3"	mini-split	SEER2	32	variable speed	HSPF2	13.3															
"Geothermal HP, EER 16.6, COP 3.6"	ground-to-air	EER	16.6	single stage	COP	3.6															
"Geothermal HP, EER 18.6, COP 3.8"	ground-to-air	EER	18.6	single stage	COP	3.8															
"Geothermal HP, EER 20.5, COP 4.0"	ground-to-air	EER	20.5	two stage	COP	4															
"Geothermal HP, EER 30.9, COP 4.4"	ground-to-air	EER	30.9	variable speed	COP	4.4															
"Room HP, CEER 8.4, COP 2.7"	room air conditioner with reverse cycle	CEER	8.4		COP	2.7															
"Room HP, CEER 9.7, COP 3.0"	room air conditioner with reverse cycle	CEER	9.7		COP	3															
"Room HP, CEER 10.6, COP 3.3"	room air conditioner with reverse cycle	CEER	10.6		COP	3.3															
"Room HP, CEER 11.8, COP 3.6"	room air conditioner with reverse cycle	CEER	11.8		COP	3.6															
"Room HP, CEER 13.1, COP 3.9"	room air conditioner with reverse cycle	CEER	13.1		COP	3.9															
"Packaged Terminal HP, EER 8.5, COP 2.7"	packaged terminal heat pump	EER	8.5		COP	2.7															
"Packaged Terminal HP, EER 9.8, COP 3.0"	packaged terminal heat pump	EER	9.8		COP	3															
"Packaged Terminal HP, EER 10.7, COP 3.3"	packaged terminal heat pump	EER	10.7		COP	3.3															
"Packaged Terminal HP, EER 11.9, COP 3.6"	packaged terminal heat pump	EER	11.9		COP	3.6															
"Packaged Terminal HP, EER 13.2, COP 3.9"	packaged terminal heat pump	EER	13.2		COP	3.9															
"Detailed Example: Central HP, SEER2 12.4, HSPF2 8.4"	air-to-air	SEER2	12.4	single stage	HSPF2	8.4															
"Detailed Example: Central HP, SEER2 13.4, HSPF2 7.0, Absolute Detailed Performance"	air-to-air	SEER2	13.4	single stage	HSPF2	7	Absolute capacities	"47.0, 17.0"		"36000, 23000"			"2.9, 1.8"		"95.0, 82.0"		"36000, 39000"			"3.8, 3.9"	
"Detailed Example: Central HP, SEER2 17.1, HSPF2 7.9, Absolute Detailed Performance"	air-to-air	SEER2	17.1	two stage	HSPF2	7.9	Absolute capacities	"47.0, 17.0, 5.0"	"24500, 14200, 9900"	"36000, 21600"		"3.9, 3.0, 2.2"	"3.1, 2.3"		"95.0, 82.0"	"24000, 29000"	"36000, 39000"		"4.1, 5.4"	"3.6, 4.8"	
"Detailed Example: Central HP, SEER 17.5, HSPF 9.5, Absolute Detailed Performance"	air-to-air	SEER	17.5	variable speed	HSPF	9.5	Absolute capacities	"47.0, 17.0, 5.0"	"9900, 3600, 1100"	"35800, 24600"	"35800, 24600, 19700"	"4.68, 1.57, 0.47"	"3.4, 2.58"	"3.4, 2.58, 2.63"	"95.0, 82.0"	"11900, 13400"	36000	"36000, 40500"	"4.47, 6.33"	2.64	"2.64, 3.46"
"Detailed Example: Central HP, SEER 17.5, HSPF 9.5, Normalized Detailed Performance"	air-to-air	SEER	17.5	variable speed	HSPF	9.5	Normalized capacity fractions	"47.0, 17.0, 5.0"	"0.28, 0.10, 0.03"	"1.00, 0.69"	"1.00, 0.69, 0.55"	"4.68, 1.57, 0.47"	"3.4, 2.58"	"3.4, 2.58, 2.63"	"95.0, 82.0"	"0.33, 0.37"	1	"1.0, 1.13"	"4.47, 6.33"	2.64	"2.64, 3.46"
"Detailed Example: Ductless Mini-Split HP, SEER2 19.0, HSPF2 9.0, Absolute Detailed Performance"	mini-split	SEER2	19	variable speed	HSPF2	9	Absolute capacities	"47.0, 17.0, 5.0, -13.0"	"11400, 5600, 3600, 2600"	"38000, 23000, 22000"	"46500, 25000, 22000, 16000"	"3.48, 2.78, 1.88, 1.52"	"2.68, 2.2, 1.8"	"2.75, 2.11, 1.8, 1.31"	"95.0, 82.0"	"9100, 9900"	36000	"36400, 43300"	"3.76, 4.61"	2.49	"2.45, 3.51"
"Detailed Example: Ductless Mini-Split HP, SEER2 19.0, HSPF2 9.0, Normalized Detailed Performance"	mini-split	SEER2	19	variable speed	HSPF2	9	Normalized capacity fractions	"47.0, 17.0, 5.0, -13.0"	"0.30, 0.15, 0.09, 0.07"	"1.00, 0.61, 0.58"	"1.22, 0.66, 0.58, 0.42"	"3.48, 2.78, 1.88, 1.52"	"2.68, 2.2, 1.8"	"2.75, 2.11, 1.8, 1.31"	"95.0, 82.0"	"0.25, 0.28"	1	"1.01, 1.20"	"3.76, 4.61"	2.49	"2.45, 3.51"
																					
# Type: The type of system.																					
"# Cooling Efficiency Type: The cooling efficiency type. Central HPs and Mini-Split HPs use SEER2 or SEER; Geothermal HPs, Packaged Terminal HPs, and Room HPs use EER."																					
# Cooling Efficiency: The rated cooling efficiency.																					
"# Cooling Compressor Type: The compressor type of the cooling system. Applies to Central HPs, Mini-Split HPs, and Geothermal HPs."																					
"# Heating Efficiency Type: The heating efficiency type. Central HPs and Mini-Split HPs use HSPF2 or HSPF; Goethermal HPs, Packaged Terminal HPs, and Room HPs use COP."																					
# Heating Efficiency: The rated heating efficiency.																					
# Detailed Performance Data Capacity Type: Type of capacity values when providing detailed performance data. Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Outdoor Temperatures: List of outdoor temperatures when providing heating detailed performance data. Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Min Speed Capacities: Minimum speed capacities when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Nom Speed Capacities: Nominal speed capacities when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Max Speed Capacities: Maximum speed capacities when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Min Speed COPs: Minimum speed COPs when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Nom Speed COPs: Nominal speed COPs when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Heating Max Speed COPs: Maximum speed COPs when providing detailed heating performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Outdoor Temperatures: List of outdoor temperatures when providing cooling detailed performance data. Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Min Speed Capacities: Minimum speed capacities when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Nom Speed Capacities: Nominal speed capacities when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Max Speed Capacities: Maximum speed capacities when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Min Speed COPs: Minimum speed COPs when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Nom Speed COPs: Nominal speed COPs when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
# Detailed Performance Data Cooling Max Speed COPs: Maximum speed COPs when providing detailed cooling performance data.  Applies to Central HPs and Mini-Split HPs.																					
